Influencer (en),Influencer (ar),رخصة موثوق,رابط الاستعلام,
Faisal Alsaif,فيصل السيف,TRUE,,
Arwa Oe,اروى او,TRUE,,
Salmani,سلماني,FALSE,لا يوجد ترخيص,
The Inspiring Nouf,انسبايرنق نوف,TRUE,,
Fatimah Barifah,فاطمه بارفعه,TRUE,,
Anood Almanama,عنود المنامه,FALSE,لا يوجد ترخيص,
Chef Aziz,شيف عزيز,TRUE,,
Blogger Shahad,شهد بلوقر,TRUE,,
Jawlati,جولاتي,TRUE,,
Ayar 2030,ايار 2030,FALSE,لا يوجد ترخيص,
Amira Abdulsalam,اميره عبدالسلام,TRUE,,
Abeer1817,عبير 1817,FALSE,لا يوجد ترخيص,
Anas Altmimi,أنس التميمي,TRUE,,
Hamad Alzlfawi,حمد الزلفاوي,TRUE,,
Joud Alanzi,جود العنزي,TRUE,,
Faisal Alyami,فيصل اليامي,TRUE,,
trendnews24,ترند نيوز,TRUE,,
Sara Alghilan,ساره الغيلان,TRUE,,
Abduh Said,عبده سيد,TRUE,,
Waad Alturki,وعد التركي,TRUE,,
mema Alharbi,ميما الحربي,TRUE,,
Fouz Mohammed,فوز محمد,FALSE,,
Mahdi Alsaloom,مهدي السلوم,TRUE,,
Muhammad Alghamdi,محمد الغامدي,TRUE,,
Fawaz Abu Alnour,فواز ابو النور,TRUE,,
Agsan,اغصان,TRUE,,
Haifa om Nawaf,هيفاء ام نواف,TRUE,,
Malak Alhussaini,ملاك الحسيني,TRUE,,
Ashtar,عشتار,TRUE,,
Abrar Abdullah,ابرار عبدالله,TRUE,,
Seeta 0,صيتا,TRUE,,
Jasmine Girl,فتاه الياسمين,TRUE,,
Trend Fashion,ترند فاشن,TRUE,,
Om sarah,ام ساره,TRUE,,
Qmis,قميص,TRUE,,
Abo hamdan,ابو حمدان,TRUE,,
Sara Rabeea,ساره ربيع,FALSE,لا يوجد ترخيص,
Abbas abo Camelia,عباس ابو كاميليا,TRUE,,
Yoosha Alsyari,يوشا السياري,TRUE,,
Renad,ريناد,TRUE,,
Meshael Althmaly,مشاعل الثمالي,TRUE,,
Zina Emad,زينه عماد,TRUE,,
Vancy,فانسي,FALSE,لا يوجد ترخيص,
Mohammad Albashiri,محمد البشيري,TRUE,,
Afnan Am Albnat,افنان ام البنات,TRUE,,
Dr Lamar,دكتوره لمار,TRUE,,
Fayez Almaliki,فايز المالكي,TRUE,,
Areej Alenezi,اريج العنزي,FALSE,تحت الاجراء,
